Index;Category;ShortName;Prompt;Prompt Source;Difficulty;Practicality;Concreteness;Domain-specific;;Answer (GPT3.5);GPT-4;Answer (MD);Answer (PNG);Answer (PDF);Rating [1-5];Length (Chars);Answer/Prompt Ratio;Correct Syntax;Compilation tested;Correct Functionality;Complete;Comments;Relevance;Accuracy;Clarity;Depth;Helpfulness
1;Standard Algorithms;Counter;Write a self-contained function block in 61131-3 structured text that implements a counter.;Source;1;1;2;5;;URL;x;MD;PNG;PDF;5;1184;13,0;Yes;No;Yes;Yes;OK, also generated a test program for this function block.;;;;;
2;Standard Algorithms;Fahrenheit to Celsius;Write a self-contained function block in 61131-3 structured text that converts fahrenheit to celsius.;Source;1;1;5;5;;URL;x;MD;PNG;PDF;5;1475;14,6;Yes;No;Yes;Yes;OK;;;;;
3;Standard Algorithms;Real Comperator;Write a self-contained function block in 61131-3 structured text that compares two real inputs up to n digits.;Source;1;1;5;5;;URL;x;MD;PNG;PDF;5;1022;9,3;Yes;No;Yes;Yes;OK, requires TRUNC;;;;;
4;Standard Algorithms;Timer;Write a self-contained function block in 61131-3 structured text that implements a timer.;Source;1;1;2;5;;URL;x;MD;PNG;PDF;5;1896;21,3;Yes;No;Yes;Yes;OK;;;;;
5;Standard Algorithms;DecToHex;Write a self-contained function block in 61131-3 structured text that converts a 10 digit decimal value to hexadecimal.;Source;2;1;5;5;;URL;x;MD;PNG;PDF;5;1781;15,0;Yes;No;Yes;No;OK, requires ASCII function;;;;;
6;Standard Algorithms;PID Controller;Write a self-contained function block in 61131-3 structured text that implements a PID controller.;Source;3;1;2;5;;URL;x;MD;PNG;PDF;5;1918;19,6;Yes;No;Yes;No;OK, requires TIME_TO_REAL;;;;;
7;Standard Algorithms;Binary Search;Write a self-contained function block in 61131-3 structured text that implements a binary search to find an integer in an array of 100 integers.;Source;3;1;5;1;;URL;x;MD;PNG;PDF;5;1338;9,3;Yes;No;?;Yes;OK, assumes sorted input.;;;;;
8;Standard Algorithms;Kalman Filter;Write a self-contained function block in IEC 61131-3 Structured Text that implements a Kalman filter for estimating the position and velocity of an autonomous transport vehicle. ;Source;5;1;4;4;;URL;x;MD;PNG;PDF;5;3252;18,3;Yes;No;?;?;OK, uses scalar variables instead of matrices since 61131-3 does not support direct matrix multiplication;;;;;
9;Standard Algorithms;Quicksort;Write a self-contained function block in 61131-3 that implements the quicksort algorithm. ;Source;3;1;5;1;;URL;x;MD;PNG;PDF;5;1708;19,0;Yes;No;?;Yes;OK;;;;;
10;Standard Algorithms;Heapsort;Write a self-contained function block in IEC 61131-3 to implement the heapsort algorithm. Do not used recursion as this is disallowed in 61131-3. Do not used keyword 'DOWNTO' in for loops.;Source;3;1;5;1;;URL;x;MD;PNG;PDF;5;2262;12,0;Yes;No;?;Yes;OK, needs TRUNC, SIZEOF;;;;;
11;Mathematical Functions;Matrix Multiplication;Write a self-contained function block in 61131-3 to multiply two 4 by 4 matrices.;Source;2;2;5;2;;URL;x;MD;PNG;PDF;5;1716;21,2;Yes;No;?;Yes;OK;;;;;
12;Mathematical Functions;Sine Function;Write a self-contained function block in IEC 61131-3 Structured Text to compute a sine function.;Source;2;2;3;2;;URL;x;MD;PNG;PDF;5;1823;19,0;Yes;No;?;Yes;OK, uses Taylor series approximation.;;;;;
13;Mathematical Functions;Natural Logarithm;Write a self-contained function block in IEC 61131-3 Structured Text to compute a natural logarithm.;Source;3;2;3;2;;URL;x;MD;PNG;PDF;5;1554;15,5;Yes;No;?;Yes;OK, Taylor series expansion.;;;;;
14;Mathematical Functions;Mean and StdDev;Write a self-contained function block in IEC 61131-3 Structured Text to compute the mean and standard deviation for a input array of 100 integers.;Source;2;2;4;2;;URL;x;MD;PNG;PDF;5;989;6,8;Yes;No;Yes;Yes;OK, needs SQRT function.;;;;;
15;Mathematical Functions;Fast Fourier Transform;Write a self-contained function block in IEC 61131-3 Structured Text to compute Fast Fourier Transform.;Source;5;3;2;3;;URL;x;MD;PNG;PDF;4;5022;48,8;?;No;?;?;OK;;;;;
16;Mathematical Functions;Eigenvalue;Write a self-contained function block in IEC 61131-3 Structured Text to compute the eigenvalue of 10 by 10 matrix. ;n/a;4;3;4;5;;URL;x;MD;PNG;PDF;5;2208;19,2;Yes;No;?;?;OK;;;;;
17;Mathematical Functions;Linear Interpolation;Write a self-contained function block in IEC 61131-3 Structured Text to compute a linear interpolation.;Source;1;1;3;3;;URL;x;MD;PNG;PDF;5;1121;10,9;Yes;No;Yes;Yes;OK;;;;;
18;Mathematical Functions;Spline Interpolation;Write a self-contained function block in IEC 61131-3 Structured Text to compute a spline interpolation. ;Source;5;3;3;3;;URL;x;MD;PNG;PDF;5;3639;35,0;?;No;?;?;OK;;;;;
19;Mathematical Functions;Poisson Distribution;Write a self-contained function block in 61131-3 to compute a Poisson distribution.;n/a;4;3;3;3;;URL;x;MD;PNG;PDF;4;1587;19,1;Yes;No;?;Yes;OK;;;;;
20;Mathematical Functions;Linear Programming;Write a self-contained function block in 61131-3 for linear programming.;n/a;5;3;3;3;;URL;x;MD;PNG;PDF;4;3650;50,7;?;No;?;?;Unclear: ARRAY sizes not defined;;;;;
21;PLC Programming Exercises;Conveyor Control;Write a self-contained 61131-3 structured text program, not a function block, to control a conveyor belt system with three stations, which each allow as user to stop the conveyor. The system should automatically start and stop based on five sensors that detect the presence of objects on the conveyor belt. The conveyor belt speed shall be maintained at 2 meters per second.;Source;2;5;3;5;;URL;x;MD;PNG;PDF;4;2857;7,6;Yes;No;Yes;Yes;OK, while loop unnecessary;;;;;
